ticker,2018q2,2018q3,2018q4,2019q1,2019q2,2019q3,2019q4,2020q1,2020q2,2020q3,2020q4,2021q1,2021q2
VCR,19.0,16.0,44.0,16.0,14.0,41.0,28.0,10.0,12.0,13.0,45.0,29.0,34.0
VGG,73.0,87.0,81.0,75.0,63.0,81.0,74.0,68.0,67.0,66.0,71.0,64.0,71.0
VGT,53.0,47.0,43.0,41.0,49.0,44.0,50.0,56.0,50.0,56.0,52.0,46.0,66.0
VHL,65.0,71.0,77.0,68.0,64.0,67.0,67.0,74.0,71.0,70.0,58.0,44.0,73.0
VIH,20.0,23.0,,,,,,,,,,,
VIT,32.0,37.0,47.0,33.0,40.0,36.0,53.0,24.0,39.0,39.0,51.0,29.0,33.0
VKC,49.0,33.0,42.0,39.0,42.0,38.0,41.0,42.0,46.0,43.0,41.0,39.0,33.0
VLB,100.0,100.0,96.0,99.0,93.0,98.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0
VNG,59.0,48.0,40.0,44.0,53.0,41.0,34.0,65.0,59.0,36.0,21.0,31.0,56.0
VNS,69.0,71.0,76.0,73.0,69.0,84.0,66.0,73.0,55.0,63.0,62.0,64.0,71.0
VTA,52.0,56.0,43.0,26.0,33.0,38.0,41.0,33.0,36.0,29.0,28.0,29.0,43.0
VTD,,,,,53.0,76.0,79.0,,,,,,
VTG,78.0,72.0,60.0,43.0,59.0,68.0,75.0,57.0,47.0,66.0,46.0,44.0,33.0
VTR,55.0,75.0,71.0,61.0,71.0,65.0,52.0,44.0,10.0,34.0,29.0,24.0,
X20,46.0,28.0,46.0,45.0,34.0,46.0,51.0,54.0,68.0,65.0,56.0,,
XHC,57.0,92.0,55.0,41.0,72.0,38.0,51.0,40.0,31.0,71.0,56.0,32.0,25.0
AAM,88.0,93.0,79.0,84.0,85.0,66.0,75.0,86.0,75.0,58.0,70.0,73.0,72.0
AAV,45.0,48.0,79.0,59.0,48.0,54.0,61.0,66.0,61.0,39.0,60.0,61.0,68.0
ABR,,,,,,,89.0,100.0,100.0,83.0,99.0,98.0,91.0
ABT,78.0,90.0,68.0,67.0,58.0,70.0,56.0,63.0,67.0,46.0,60.0,72.0,54.0
ACL,51.0,91.0,75.0,67.0,49.0,47.0,51.0,55.0,53.0,32.0,46.0,51.0,51.0
AGF,29.0,25.0,30.0,22.0,30.0,14.0,20.0,14.0,21.0,,,,52.0
ANV,53.0,79.0,89.0,82.0,56.0,59.0,71.0,62.0,61.0,44.0,55.0,54.0,44.0
APF,46.0,26.0,32.0,49.0,27.0,26.0,57.0,54.0,54.0,39.0,65.0,57.0,52.0
ASM,65.0,43.0,52.0,62.0,43.0,46.0,55.0,59.0,56.0,38.0,55.0,54.0,51.0
AVF,42.0,41.0,54.0,57.0,38.0,44.0,56.0,57.0,50.0,55.0,,,
BBC,88.0,88.0,95.0,74.0,61.0,73.0,81.0,69.0,75.0,59.0,71.0,67.0,68.0
BCF,74.0,49.0,,,63.0,89.0,,100.0,100.0,99.0,84.0,88.0,85.0
BHK,,,,,37.0,,,,60.0,,,,
BHN,83.0,85.0,70.0,72.0,81.0,79.0,79.0,62.0,94.0,96.0,97.0,75.0,88.0
BLF,29.0,30.0,10.0,18.0,28.0,30.0,12.0,22.0,24.0,7.0,16.0,6.0,4.0
BMV,38.0,44.0,54.0,54.0,43.0,50.0,54.0,66.0,59.0,67.0,73.0,,57.0
BNA,,,,,,,,,71.0,56.0,71.0,,60.0
BQB,47.0,49.0,67.0,,,,,,,,56.0,52.0,52.0
BSH,87.0,81.0,56.0,73.0,91.0,80.0,82.0,74.0,77.0,83.0,80.0,73.0,90.0
BSL,47.0,40.0,56.0,64.0,61.0,54.0,64.0,60.0,70.0,58.0,72.0,,87.0
BSP,81.0,46.0,63.0,86.0,48.0,80.0,69.0,63.0,73.0,61.0,58.0,62.0,75.0
BSQ,67.0,49.0,72.0,81.0,79.0,71.0,71.0,66.0,84.0,58.0,77.0,68.0,63.0
BTB,28.0,35.0,19.0,12.0,27.0,,,,44.0,,,,24.0
CAD,,10.0,11.0,23.0,17.0,,,16.0,18.0,,56.0,4.0,14.0
CAN,42.0,58.0,53.0,60.0,41.0,47.0,57.0,68.0,68.0,40.0,52.0,50.0,56.0
CBS,39.0,,,,,,,,,,,,
CFV,,,,,,,,,,61.0,33.0,,56.0
CLX,99.0,100.0,91.0,87.0,93.0,89.0,91.0,100.0,100.0,78.0,91.0,83.0,84.0
CMF,54.0,76.0,72.0,77.0,60.0,77.0,77.0,,,,,,
CMX,30.0,42.0,30.0,50.0,26.0,27.0,50.0,48.0,53.0,35.0,22.0,49.0,53.0
CPA,,,,,,,12.0,24.0,47.0,25.0,24.0,,52.0
CTP,41.0,38.0,81.0,57.0,39.0,55.0,91.0,95.0,59.0,61.0,68.0,66.0,61.0
DAT,36.0,31.0,40.0,53.0,35.0,37.0,53.0,52.0,52.0,37.0,52.0,54.0,54.0
DBC,37.0,43.0,45.0,50.0,31.0,30.0,56.0,83.0,75.0,71.0,73.0,74.0,65.0
FCS,41.0,42.0,58.0,58.0,46.0,47.0,58.0,67.0,62.0,49.0,57.0,61.0,59.0
FGL,,,,41.0,32.0,28.0,34.0,20.0,21.0,18.0,32.0,15.0,18.0
FMC,58.0,75.0,68.0,72.0,52.0,76.0,76.0,83.0,66.0,74.0,83.0,71.0,66.0
GTN,82.0,81.0,69.0,69.0,68.0,67.0,84.0,100.0,92.0,98.0,99.0,84.0,87.0
HAD,64.0,83.0,71.0,50.0,82.0,73.0,80.0,63.0,83.0,88.0,77.0,61.0,79.0
HAF,43.0,43.0,,61.0,39.0,49.0,54.0,66.0,56.0,34.0,48.0,33.0,37.0
HAT,100.0,100.0,73.0,81.0,99.0,95.0,72.0,90.0,95.0,100.0,70.0,83.0,74.0
HBH,16.0,20.0,51.0,45.0,30.0,45.0,57.0,38.0,47.0,51.0,59.0,54.0,58.0
HHC,28.0,32.0,57.0,44.0,23.0,33.0,51.0,14.0,33.0,22.0,,2.0,18.0
HKT,46.0,42.0,88.0,57.0,40.0,47.0,59.0,74.0,61.0,62.0,53.0,47.0,51.0
HLG,46.0,41.0,53.0,56.0,39.0,43.0,50.0,64.0,57.0,35.0,52.0,42.0,43.0
HNF,,36.0,21.0,54.0,18.0,35.0,33.0,23.0,13.0,17.0,40.0,31.0,29.0
HNM,18.0,20.0,52.0,24.0,26.0,25.0,16.0,4.0,15.0,15.0,44.0,21.0,41.0
HNR,57.0,46.0,67.0,71.0,48.0,62.0,69.0,83.0,70.0,67.0,72.0,73.0,64.0
HSL,90.0,100.0,100.0,95.0,82.0,95.0,100.0,100.0,76.0,70.0,100.0,84.0,70.0
HVG,29.0,79.0,33.0,39.0,15.0,10.0,0.0,,,,,,
ICF,31.0,30.0,25.0,20.0,19.0,21.0,,9.0,13.0,18.0,47.0,,
IDI,48.0,45.0,62.0,63.0,41.0,42.0,51.0,54.0,53.0,33.0,52.0,46.0,50.0
IDP,,,,,,,,,,,,,88.0
IFS,100.0,100.0,98.0,100.0,100.0,100.0,100.0,100.0,85.0,100.0,100.0,100.0,100.0
ILA,,,,75.0,41.0,68.0,91.0,75.0,89.0,59.0,,,
JOS,45.0,43.0,55.0,51.0,45.0,42.0,57.0,61.0,67.0,55.0,57.0,,36.0
KDC,69.0,63.0,67.0,67.0,55.0,61.0,66.0,71.0,68.0,63.0,68.0,62.0,62.0
KHS,33.0,37.0,40.0,42.0,25.0,28.0,40.0,57.0,52.0,33.0,52.0,60.0,58.0
KLF,86.0,97.0,82.0,76.0,78.0,75.0,76.0,78.0,68.0,58.0,67.0,69.0,67.0
KTS,35.0,30.0,56.0,26.0,26.0,14.0,29.0,12.0,46.0,38.0,40.0,21.0,34.0
LAF,29.0,31.0,63.0,56.0,38.0,42.0,63.0,63.0,55.0,57.0,92.0,58.0,50.0
LIX,90.0,100.0,74.0,87.0,87.0,82.0,73.0,100.0,79.0,83.0,92.0,86.0,72.0
LSS,43.0,35.0,53.0,58.0,46.0,41.0,59.0,69.0,63.0,44.0,60.0,57.0,60.0
MCF,58.0,46.0,72.0,56.0,36.0,47.0,64.0,59.0,76.0,69.0,68.0,47.0,52.0
MCH,80.0,100.0,84.0,83.0,69.0,75.0,84.0,86.0,74.0,74.0,83.0,72.0,78.0
MCM,,,,,,,,,100.0,100.0,99.0,95.0,93.0
MLS,32.0,32.0,32.0,,,,,,,,,,
MML,,,,,50.0,49.0,60.0,63.0,62.0,40.0,55.0,55.0,51.0
MPC,45.0,48.0,61.0,61.0,49.0,69.0,69.0,74.0,67.0,64.0,72.0,68.0,65.0
MPT,47.0,43.0,86.0,67.0,48.0,66.0,63.0,78.0,64.0,53.0,66.0,63.0,61.0
MSN,71.0,45.0,65.0,63.0,46.0,63.0,62.0,55.0,48.0,32.0,43.0,42.0,50.0
MTA,33.0,33.0,,30.0,22.0,22.0,39.0,61.0,57.0,48.0,57.0,59.0,50.0
NAF,41.0,30.0,39.0,32.0,28.0,36.0,35.0,50.0,51.0,29.0,37.0,33.0,50.0
NET,62.0,41.0,63.0,64.0,54.0,66.0,73.0,100.0,95.0,77.0,84.0,84.0,85.0
NGC,35.0,29.0,38.0,39.0,28.0,14.0,9.0,52.0,50.0,45.0,45.0,,58.0
NSS,90.0,,,,,,,,,,,,
NST,19.0,28.0,55.0,14.0,28.0,42.0,51.0,38.0,0.0,49.0,36.0,23.0,50.0
OGC,14.0,30.0,19.0,23.0,10.0,40.0,26.0,70.0,16.0,40.0,37.0,6.0,52.0
PAN,52.0,65.0,76.0,67.0,48.0,54.0,64.0,61.0,59.0,44.0,65.0,55.0,55.0
PCF,59.0,45.0,67.0,58.0,52.0,,,,63.0,45.0,,,
PRT,,,,,,,,71.0,70.0,71.0,72.0,,64.0
QNS,94.0,100.0,100.0,83.0,94.0,87.0,95.0,93.0,93.0,86.0,98.0,80.0,91.0
RAL,42.0,43.0,64.0,63.0,39.0,49.0,55.0,71.0,64.0,48.0,73.0,70.0,55.0
SAB,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SAF,100.0,100.0,94.0,100.0,93.0,88.0,87.0,100.0,100.0,97.0,100.0,100.0,82.0
SBL,44.0,38.0,59.0,45.0,41.0,48.0,58.0,54.0,47.0,43.0,58.0,39.0,52.0
SBT,40.0,31.0,36.0,56.0,34.0,37.0,45.0,56.0,59.0,38.0,54.0,51.0,52.0
SCD,100.0,100.0,84.0,99.0,98.0,99.0,83.0,88.0,83.0,84.0,59.0,56.0,51.0
SEA,70.0,84.0,,83.0,85.0,,80.0,81.0,87.0,80.0,87.0,79.0,72.0
SGC,53.0,83.0,70.0,75.0,59.0,59.0,79.0,100.0,79.0,71.0,75.0,65.0,58.0
SGO,48.0,43.0,57.0,,,,,,,,,,
SJ1,32.0,30.0,19.0,38.0,27.0,32.0,21.0,50.0,24.0,20.0,21.0,28.0,15.0
SKH,88.0,83.0,90.0,88.0,80.0,69.0,69.0,100.0,72.0,83.0,93.0,88.0,79.0
SKV,81.0,53.0,60.0,79.0,73.0,68.0,67.0,85.0,72.0,64.0,75.0,86.0,71.0
SLS,34.0,37.0,51.0,37.0,38.0,39.0,40.0,67.0,70.0,49.0,67.0,67.0,70.0
SMB,77.0,86.0,61.0,71.0,85.0,89.0,72.0,73.0,90.0,89.0,88.0,87.0,88.0
SPD,37.0,44.0,46.0,52.0,37.0,31.0,31.0,52.0,55.0,24.0,33.0,54.0,49.0
SSN,47.0,77.0,50.0,58.0,39.0,48.0,42.0,61.0,54.0,53.0,56.0,,44.0
TAC,72.0,49.0,67.0,63.0,46.0,62.0,71.0,76.0,74.0,78.0,67.0,82.0,65.0
TAR,34.0,32.0,48.0,39.0,30.0,36.0,52.0,67.0,64.0,38.0,67.0,,53.0
