Ticker,Group          ,Breakeven Price,1% at Risk        ,3% at Risk        ,5% at Risk        ,Proposed Price
HSL   ,A              ,1430           ,2914.52           ,3392.0            ,3644.0            ,3640
MCF   ,B              ,2990           ,4709.45           ,5302.35           ,5612.25           ,5300
HMC   ,A              ,14650          ,19913.26          ,21544.39          ,22376.95          ,22400
MCO   ,C              ,330            ,884.39            ,1103.0            ,1247.0            ,880
HNG   ,D              ,2220           ,3448.0            ,3782.0            ,3973.0            ,2220
MDC   ,B              ,1230           ,3001.66           ,3797.0            ,4265.3            ,3800
MED   ,C              ,9910           ,17761.15          ,19812.0           ,20909.0           ,17750
HOT   ,C              ,5480           ,12679.35          ,15217.41          ,16570.0           ,12700
MEL   ,B              ,5700           ,9218.9            ,10177.7           ,10778.5           ,10200
HPG   ,A              ,22800          ,32992.35          ,35776.66          ,37276.7           ,37300
MHL   ,Not enough data,340            ,943.64            ,1186.96           ,1351.0            ,Not enough data
HQC   ,C              ,540            ,1214.0            ,1441.0            ,1564.0            ,1210
MIM   ,Not enough data,1730           ,3287.0            ,3765.37           ,4025.0            ,Not enough data
HRC   ,C              ,7100           ,19402.98          ,23772.14          ,26272.6           ,19400
MKV   ,Not enough data,16500          ,21641.53          ,22966.74          ,23776.5           ,Not enough data
HSG   ,A              ,20700          ,29607.12          ,32105.36          ,33477.5           ,33500
HT1   ,B              ,10950          ,14428.6           ,15544.6           ,16135.0           ,15550
MPT   ,B              ,280            ,593.0             ,699.0             ,756.0             ,700
HTI   ,A              ,8360           ,11138.0           ,11893.82          ,12276.0           ,12300
MST   ,C              ,6820           ,9983.0            ,10996.74          ,11598.4           ,9980
HTN   ,C              ,16050          ,25431.26          ,27934.39          ,29521.25          ,25450
NAG   ,C              ,3730           ,5266.0            ,5662.5            ,5898.0            ,5270
NAP   ,A              ,2380           ,4991.58           ,5745.87           ,6147.450000000001 ,6150
HTL   ,A              ,7420           ,11953.28          ,13177.42          ,13913.7           ,13900
NBC   ,D              ,7040           ,11245.4           ,12503.4           ,13117.0           ,7040
HTV   ,A              ,6800           ,9915.34           ,10762.0           ,11192.0           ,11200
NBP   ,A              ,4260           ,6818.0            ,7572.0            ,7978.0            ,7980
HU1   ,B              ,3290           ,5245.89           ,5943.0            ,6319.35           ,5940
NBW   ,A              ,1020           ,4132.23           ,5463.6900000000005,6272.15           ,6270
HU3   ,C              ,2450           ,4008.17           ,4401.0            ,4621.0            ,4010
NDN   ,A              ,8880           ,13193.98          ,14323.94          ,15019.0           ,15000
HVH   ,C              ,3780           ,5480.59           ,6046.0            ,6340.0            ,5480
NDX   ,B              ,2710           ,4400.75           ,4817.0            ,5056.0            ,4820
HVX   ,B              ,1630           ,3034.6            ,3439.6            ,3664.0            ,3440
NET   ,A              ,33100          ,44587.6           ,47230.0           ,48665.3           ,48650
IBC   ,C              ,14250          ,16930.74          ,17566.0           ,17880.0           ,16950
NRC   ,B              ,6500           ,10567.77          ,11713.619999999999,12349.0           ,11700
ILB   ,B              ,14700          ,20880.07          ,22779.0           ,23746.45          ,22800
NFC   ,A              ,6940           ,8970.68           ,9530.039999999999 ,9804.4            ,9800
IDI   ,B              ,1850           ,3273.05           ,3723.1499999999996,4006.0            ,3720
NGC   ,Not enough data,510            ,1544.63           ,1979.0            ,2217.0            ,Not enough data
IJC   ,A              ,10200          ,15750.66          ,17576.97          ,18513.55          ,18500
NHC   ,A              ,12350          ,19478.56          ,21350.46          ,22285.0           ,22300
IMP   ,B              ,39350          ,51263.02          ,54092.04          ,55836.35          ,54100
NHP   ,Not enough data,260            ,604.0             ,731.0899999999999 ,800.0             ,Not enough data
ITA   ,B              ,1590           ,3006.64           ,3458.0            ,3698.0            ,3460
PMB   ,Not enough data,4300           ,6697.56           ,7488.68           ,7910.0            ,Not enough data
ITC   ,C              ,6100           ,8767.0            ,9458.0            ,9846.0            ,8770
NSC   ,B              ,44400          ,57401.0           ,60672.119999999995,62352.0           ,60700
ITD   ,A              ,7450           ,10648.49          ,11644.94          ,12173.45          ,12150
NST   ,D              ,1990           ,3513.7599999999998,3965.0            ,4206.0            ,1990
JVC   ,B              ,1250           ,2322.0            ,2650.8999999999996,2840.0            ,2650
NTP   ,A              ,28700          ,37760.14          ,40092.34          ,41207.6           ,41200
KBC   ,A              ,10100          ,18724.75          ,21439.25          ,22884.0           ,22900
