Ticker,Group,BreakFeven Price,1% at Risk,3% at Risk,5% at Risk,Proposed Price
VC2,C,13650,21469.45,23869.3,24967.0,21450
SPM,B,7430,10971.67,12037.01,12568.35,12050
VC3,B,13350,18151.4,19361.68,20074.8,19350
SRC,D,8810,12623.2,13737.0,14346.0,8810
VC6,C,2260,4232.47,4832.0,5144.0,4230
SRF,C,6540,8504.98,9105.0,9421.0,8500
VC7,C,2590,5576.0,6839.11,7541.0,5580
SSC,B,10250,19346.14,21790.21,23099.35,21800
VC9,D,870,2164.0,2660.0,2987.0,870
ST8,A,4650,6759.0,7267.34,7544.0,7540
VCC,C,6840,11174.04,12611.119999999999,13302.1,11150
STG,A,11350,16781.94,18191.91,19051.0,19050
VCM,B,5080,8170.75,9050.25,9544.75,9050
STK,A,29050,37906.4,40549.3,42049.5,42050
VCS,A,66200,89670.99,96008.93,99118.0,99100
SVC,B,30550,47578.68,51959.7,54180.6,52000
VDL,Not enough data,4710,9036.0,10250.61,10954.0,Not enough data
SVD,C,2680,4673.04,5166.0,5441.0,4670
VE1,A,700,1575.0,1883.99,2071.0,2070
SVI,B,24050,40147.0,44295.06,46555.8,44300
VE2,C,5910,8422.24,9094.86,9454.0,8420
SVT,A,4700,7734.0,8607.72,9068.2,9070
VE3,C,790,2052.0,2555.0,2865.0,2050
SZC,B,11050,22536.48,26307.0,28284.550000000003,26300
VE4,C,5850,13804.12,16430.28,17917.6,13800
SZL,A,30750,39039.63,41087.78,42143.0,42150
VE8,C,2320,3879.32,4447.0,4759.0,3880
TAC,B,28000,39175.1,41993.0,43687.0,42000
VGP,A,9380,16509.02,18604.0,19684.0,19700
TBC,A,19050,23479.0,24504.25,25096.75,25100
VGS,A,5000,10421.0,12606.0,13867.0,13850
TCD,B,12100,17516.67,19328.1,20266.7,19350
VHE,B,690,2065.37,2587.0,2891.0,2590
TCH,A,4200,7683.0,8742.0,9300.0,9300
VHL,B,8500,12645.06,14046.0,14793.0,14050
TCL,A,16150,23874.5,25940.75,27076.0,27100
VIE,C,1730,2890.0,3176.09,3337.15,2890
TCM,B,27150,40726.25,43928.25,45956.0,43950
VIF,A,6510,10007.14,10925.0,11381.0,11400
TCO,A,5050,10607.71,12458.71,13547.0,13550
VIT,C,6110,9396.55,10270.53,10814.1,9400
TCR,C,670,1562.7,1874.0,2044.0,1560
VKC,C,2470,5279.0,6230.0,6747.0,5280
TCT,A,18450,23851.12,25442.68,26257.2,26250
VLA,A,6930,11502.32,12753.96,13428.0,13450
TDC,D,5800,10333.71,11691.13,12452.1,5800
VMC,C,5520,7682.47,8272.47,8576.0,7680
TDG,C,1390,2804.52,3292.0,3578.3,2800
VMS,B,4160,7251.33,8157.97,8708.65,8160
TDH,A,2720,4958.96,5647.9400000000005,6040.9,6040
VNC,A,8450,15688.68,17918.0,19112.0,19100
TDM,A,17700,22902.92,24127.38,24881.0,24900
VNF,A,4350,8667.95,9972.85,10655.0,10650
TDP,C,10450,15793.66,17295.96,18059.3,15800
VNT,B,3460,11145.06,14585.27,16956.45,14600
TDW,A,6150,12588.0,14911.25,16251.0,16250
VSA,A,8860,14022.9,15742.9,16561.0,16550
TEG,A,3200,5607.1,6481.9,6956.5,6960
VSM,A,8080,12993.5,14653.75,15483.75,15500
TGG,A,11950,18279.21,20284.14,21266.3,21250
VTC,C,4120,7545.14,8521.14,9055.0,7550
THG,B,45050,57230.31,60140.0,61873.65,60100
VTH,B,3570,5662.82,6190.82,6475.0,6190
