Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Groupp,Breakeven Price
PLC,14754.0,24366.2,26992.44,28394.2,B,27000
ITC,9389.0,13525.38,14789.78,15373.3,Not enough data,9390
PMB,6367.0,10056.39,11291.17,11860.95,A,11850
PMC,28936.0,41215.52,44481.72,46132.0,A,46150
ITD,9378.0,13563.46,14925.0,15670.25,C,13550
PMP,6466.0,9552.0,10559.52,11097.8,C,9550
JVC,1536.0,2877.8,3331.0,3591.0,Not enough data,1540
PMS,7681.0,12140.25,13645.5,14456.25,A,14450
KBC,10359.0,20116.0,23249.21,24929.35,B,23250
POT,6632.0,11013.0,12171.07,12778.45,D,6630
KDC,41212.0,48842.45,50791.0,51687.3,B,50800
PPE,1104.0,3002.67,3804.01,4288.0,A,4290
KDH,25757.0,34546.7,36796.4,38006.0,A,38000
PPP,5338.0,8712.880000000001,9675.0,10185.0,A,10200
KHG,3079.0,6443.78,7548.0,8155.0,A,8160
PPS,6708.0,9296.0,9988.76,10337.8,B,9990
KHP,7554.0,10133.0,10857.54,11176.0,C,10150
PPY,3738.0,7191.0,8290.82,8878.7,A,8880
KMR,1743.0,3323.6,3898.8,4217.0,B,3900
PRC,8666.0,12528.42,13609.13,14165.65,C,12550
KOS,15608.0,22132.36,23851.04,24743.600000000002,B,23850
PSC,6186.0,9870.04,10902.0,11462.2,C,9870
KPF,4069.0,7286.87,8271.61,8788.35,B,8270
PSD,11873.0,18735.93,20708.0,21786.0,A,21800
KSB,15139.0,23407.0,25557.0,26903.5,B,25550
PSE,5893.0,11113.5,12722.5,13570.0,A,13550
PSW,8397.0,13560.36,15242.52,16244.7,A,16250
L10,3527.0,7919.57,9450.0,10289.85,C,7920
PTD,10446.0,13495.36,14245.77,14685.0,B,14250
PTS,5092.0,7728.76,8433.56,8861.0,C,7730
LAF,1819.0,5324.84,6722.0,7495.0,B,6720
LBM,34437.0,46673.76,50425.32,52677.6,A,52700
PV2,1671.0,2935.3,3362.95,3603.0,B,3360
LCG,6069.0,9983.2,11086.0,11672.0,C,9980
PVB,5239.0,8788.27,9739.81,10264.35,C,8790
LCM,1305.0,2229.0,2525.0,2696.0,C,2230
PVC,4445.0,7142.2,8038.8,8510.0,C,7140
LDG,3913.0,6225.0,6842.0,7172.0,B,6840
PVG,6640.0,9820.64,10708.64,11189.4,B,10700
PVL,2784.0,5291.77,6161.99,6676.55,B,6160
LEC,3358.0,5873.0,6620.0,7016.0,C,5870
PVS,9605.0,15816.12,17719.59,18647.65,B,17700
LGC,8388.0,18070.76,21365.0,23163.100000000002,C,18050
LGL,1959.0,3451.2799999999997,4029.42,4340.0,C,3450
LHG,24275.0,34930.56,37871.99,39315.0,A,39300
QHD,2146.0,7648.68,9891.52,11252.2,A,11250
LIX,32265.0,40378.66,42376.47,43374.15,B,42400
QST,8666.0,10864.42,11380.52,11694.1,C,10850
QTC,8478.0,11328.48,12267.0,12760.8,C,11350
LM8,5391.0,8106.68,8851.0,9229.0,C,8110
RCL,8199.0,10941.0,11747.0,12166.25,B,11750
LSS,6134.0,9359.1,10436.3,11033.25,B,10450
S55,16824.0,25696.5,28575.25,30093.75,C,25700
MCG,1313.0,2510.0,2891.75,3118.0,C,2510
S99,6215.0,11372.64,12931.880000000001,13774.6,C,11350
MCP,8761.0,14364.92,15803.38,16613.15,B,15800
SAF,19454.0,29811.6,33204.4,34956.0,A,34950
MDG,4791.0,7724.14,8543.42,8982.0,C,7720
SCI,11546.0,20946.04,23772.56,25300.0,B,23750
MHC,2791.0,5345.44,6201.32,6741.0,A,6740
SD2,1813.0,4321.22,5344.83,5930.0,C,4320
MSH,52643.0,65018.14,68887.72,71071.3,A,71100
SD4,1866.0,3277.58,3744.0,4014.45,D,1870
MSN,72083.0,98072.76,106023.28,109828.1,B,106000
SD5,5990.0,8370.96,9112.44,9510.0,C,8370
MWG,42802.0,70055.84,77838.28,81944.2,A,81900
NAF,13050.0,18192.26,19514.78,20224.3,B,19500
SD6,2356.0,3782.95,4268.0,4525.75,C,3780
SD9,7754.0,11430.36,12509.0,13017.0,C,11450
NAV,3856.0,7525.34,8774.02,9560.0,A,9560
SDA,4954.0,12113.0,14725.27,16174.75,B,14750
NBB,8634.0,16752.88,19657.16,21270.6,B,19650
SDC,2985.0,5576.1900000000005,6287.0,6688.65,C,5580
NCT,67339.0,76615.51,78809.69,79929.3,A,79900
SDG,3578.0,8902.0,10861.0,11951.8,Not enough data,3580
NHA,16756.0,27779.7,31085.01,32952.95,C,27800
SDN,12616.0,22558.36,25438.76,26969.6,B,25450
NHH,10972.0,19320.35,21865.2,23204.0,C,19300
SDT,2444.0,4142.79,4641.0,4929.0,C,4140
NKG,23113.0,33586.7,36314.4,37850.5,A,37850
SDU,3948.0,6141.0,6842.25,7160.0,C,6140
NLG,32095.0,41902.8,44610.4,46256.0,B,44600
SEB,13048.0,22758.7,25465.0,26926.75,A,26950
NNC,12398.0,17849.04,19283.0,20033.0,A,20050
SED,13406.0,17022.3,17937.16,18411.2,C,17000
NSC,45865.0,58967.65,62242.17,63921.65,B,62200
NT2,12439.0,16227.0,17189.59,17675.0,A,17700
SFN,8394.0,14558.76,16265.0,17192.0,A,17200
NTL,18569.0,26831.68,29152.52,30275.6,A,30300
SGC,21126.0,38082.7,42652.62,45167.4,B,42650
NVL,47720.0,68131.4,73240.05,76439.0,B,73200
SGD,3655.0,5929.0,6579.0,6923.05,C,5930
NVT,3917.0,6000.34,6707.0,7104.2,D,3920
SGH,11477.0,19636.68,22063.0,23332.8,A,23350
OGC,2416.0,3902.54,4333.0,4557.700000000001,B,4330
SHE,5801.0,8746.0,9561.0,9982.0,C,8750
SHN,5626.0,9364.12,10398.0,11057.2,C,9360
OPC,25364.0,34706.55,37722.06,39321.55,C,34700
SIC,1687.0,4576.68,5717.01,6432.0,C,4580
PAC,20989.0,28380.3,30197.7,31311.0,B,30200
SJ1,3220.0,6331.26,7321.0,7850.0,D,3220
PAN,12279.0,19596.3,21584.95,22692.25,B,21600
SJE,11081.0,15156.83,16281.49,16843.0,C,15150
PC1,15012.0,22601.66,24583.32,25823.0,C,22600
SLS,72417.0,103471.69,112342.76,116412.55,B,112300
PDN,41113.0,62144.64,67679.44,70438.4,A,70400
SMN,6870.0,9362.41,10118.0,10490.0,B,10100
PDR,50908.0,66347.64,71099.96,73505.6,B,71100
SMT,2036.0,4664.22,5806.0,6473.05,C,4660
PET,6742.0,12537.0,14457.0,15656.0,A,15650
SPI,1495.0,3516.0,4226.0,4645.200000000001,A,4650
PGC,11608.0,16814.52,18156.78,18924.3,C,16800
SRA,4118.0,6238.7,6828.05,7129.75,A,7130
PGD,14059.0,21775.28,23729.36,24774.4,A,24750
SSM,1862.0,3444.17,3887.0,4128.0,B,3890
PHC,6973.0,10703.22,11676.11,12290.85,C,10700
STC,7302.0,11154.85,12374.14,12987.0,A,13000
PHR,25387.0,37949.0,41615.44,43823.4,A,43800
STP,3615.0,5447.51,6137.02,6497.0,B,6140
PIT,1365.0,2726.04,3160.12,3408.0,C,2730
SVN,1515.0,3136.12,3654.18,3927.3,B,3650
PJT,5534.0,7993.76,8652.0,8992.0,C,7990
SZB,21318.0,26560.14,28111.07,28945.0,A,28950
PLP,3403.0,6249.88,7186.0,7770.1,D,3400
TA9,7088.0,9476.67,10058.04,10411.35,C,9480
PLX,28581.0,37946.02,40158.68,41328.9,A,41350
TAR,17708.0,25070.42,27445.72,28569.3,B,27450
PME,46697.0,58140.0,61743.3,63594.0,A,63600
PMG,4220.0,7609.68,8659.04,9211.4,C,7610
PNC,3760.0,5614.51,6126.53,6387.55,C,5610
PNJ,61129.0,76721.04,81454.04,84237.4,A,84200
POM,4053.0,7429.42,8439.0,9021.1,C,7430
POW,5985.0,8315.0,9000.58,9347.0,B,9000
PPC,11004.0,15280.48,16305.44,16850.0,A,16850
PSH,8101.0,12193.48,13534.86,14232.1,C,12200
PTB,66134.0,84228.1,89362.22,91462.1,B,89400
PTC,1708.0,3748.1,4486.0,4962.0,Not enough data,1710
TC6,4334.0,7060.37,8024.33,8502.0,C,7060
PTL,1390.0,2836.58,3333.37,3651.9500000000003,B,3330
PVD,12728.0,18165.54,19964.32,20899.2,B,19950
TDN,5017.0,8450.71,9447.14,10041.95,C,8450
PVT,10212.0,15283.1,16603.06,17424.0,A,17400
TDT,3779.0,7598.85,8720.85,9337.5,D,3780
PXI,920.0,1782.06,2059.0,2221.0,C,1780
TET,21474.0,26662.65,27886.39,28568.0,A,28550
PXS,1388.0,3009.52,3538.0,3830.0,C,3010
TFC,3374.0,5543.14,6184.0,6517.7,D,3370
QBS,1145.0,2268.0,2603.0,2792.0,B,2600
THB,4342.0,7697.24,8657.0,9213.8,A,9210
THD,145429.0,174962.6,186418.38,194182.2,A,194200
QCG,1830.0,3405.0,3923.41,4226.0,C,3400
