Ticker,0% at Risk,1% at Risk,3% at Risk,5% at Risk,Group,Breakeven Price
QST,6830,9380,10100,10450,C,9380
MWG,43800,71100,79000,83100,A,83100
QTC,8570,11750,12550,13000,C,11750
NAF,10150,14250,15350,15900,B,15350
RCL,8540,13400,14700,15450,B,14700
NAV,4200,8850,10400,11200,A,11200
S55,13050,23650,26600,28200,C,23650
S99,2570,6200,7480,8190,C,6200
NBB,4510,10950,13250,14500,B,13250
NCT,64100,72900,74800,76000,A,76000
SAF,21600,33850,37450,39350,A,39350
NHA,14750,28750,32900,35600,C,28750
SCI,6630,13150,14900,15900,B,14900
NHH,8340,14550,16400,17400,C,14550
SD2,1580,3430,4200,4640,C,3430
NKG,18150,28350,31300,32900,A,32900
SD4,1090,2660,3210,3520,D,1090
NLG,14450,24500,28150,30100,B,28150
SD5,4880,7320,8070,8440,C,7320
NNC,12350,16900,18050,18650,A,18650
SD6,1170,2810,3390,3700,C,2810
NSC,52500,66100,69500,71200,B,69500
SD9,3980,6600,7470,7880,C,6600
NT2,11400,15300,16250,16800,A,16800
SDA,2780,7290,8950,9870,B,8950
NTL,9540,16750,18900,20100,A,20100
SDC,2590,4960,5620,5980,C,4960
NVL,26950,42050,46250,48500,B,46250
SDG,6080,12700,14650,15800,Not enough data,6080
NVT,2520,5240,6150,6680,D,2520
SDN,11250,22000,25050,26800,B,25050
SDT,1280,2900,3450,3750,C,2900
OGC,2340,4780,5610,6040,B,5610
SDU,4610,8770,10000,10700,C,8770
OPC,25850,36450,38850,40200,C,36450
SEB,12000,21900,24600,26100,A,26100
PAC,18000,24750,26500,27400,B,26500
SED,14050,18150,19150,19750,C,18150
PAN,7810,14100,16100,17300,B,16100
SFN,10150,15450,17150,18000,A,18000
PC1,15700,23350,25350,26500,C,23350
SGC,18150,33700,38500,41100,B,38500
PDN,43400,62000,67700,70800,A,70800
SGD,6400,9480,10550,11250,C,9480
PDR,29250,47650,52900,55500,B,52900
SGH,11750,20400,23000,24350,A,24350
PET,10800,21650,25100,26950,A,26950
PGC,11100,16450,17800,18650,C,16450
SHE,6620,9540,10350,10800,C,9540
SHN,6210,9330,10150,10650,C,9330
PGD,13850,21750,23850,24850,A,24850
PHC,4690,7770,8660,9130,C,7770
SIC,2390,5570,6940,7740,C,5570
PHR,23700,40150,45050,47650,A,47650
SJ1,4000,7090,7940,8410,D,4000
PIT,2300,4280,4920,5290,C,4280
SJE,11300,16600,17950,18800,C,16600
PJT,6260,9040,9780,10150,C,9040
SLS,72600,101600,109000,113500,B,109000
PLP,3530,6630,7660,8300,D,3530
SMN,6500,9060,9830,10200,B,9830
PLX,32100,42000,44550,45950,A,45950
SMT,2790,6310,7860,8740,C,6310
PME,35450,50500,54900,57000,A,57000
SPI,2970,5140,5860,6260,A,6260
PMG,4560,8110,9200,9780,C,8110
SRA,3760,6000,6630,6970,A,6970
PNC,2450,4580,5250,5600,C,4580
SSM,1760,3420,3880,4140,B,3880
PNJ,58500,76300,80500,83000,A,83000
STC,7230,11500,12850,13600,A,13600
POM,3800,6940,7880,8380,C,6940
STP,4500,6640,7190,7520,B,7190
POW,3820,7280,8380,8970,B,8380
SVN,850,1930,2380,2650,B,2380
PPC,10650,14800,15750,16250,A,16250
SZB,22300,29350,31000,32000,A,32000
PSH,5480,10850,12500,13400,C,10850
TA9,6070,8600,9270,9620,C,8600
PTB,59100,77500,81900,84600,B,81900
TAR,15900,22750,25250,26650,B,25250
PTC,28250,45850,51900,55000,Not enough data,28250
PTL,4080,7550,8560,9150,B,8560
TC6,2160,4930,5960,6630,C,4930
PVD,7640,14750,17000,18150,B,17000
TDN,4960,8760,9880,10600,C,8760
PVT,7590,12350,14150,15050,A,15050
TDT,4320,6890,7650,8100,D,4320
PXI,1560,2900,3400,3690,C,2900
TET,17850,22850,24100,24750,A,24750
PXS,2640,5400,6280,6760,C,5400
TFC,2270,4070,4560,4830,D,2270
QBS,1520,3130,3630,3910,B,3630
THB,5660,8500,9580,10150,A,10150
QCG,2690,5040,5930,6430,C,5040
THD,83500,113600,121500,125400,A,125400
RAL,47350,71000,77400,80800,B,77400
THS,3150,6420,7430,8000,A,8000
RDP,2190,4360,5040,5410,C,4360
THT,5400,9300,10450,11150,B,10450
REE,38000,51300,54600,56500,A,56500
TIG,10450,15800,17350,18100,B,17350
TJC,5310,8750,9860,10450,A,10450
RIC,2440,5940,7110,7780,C,5940
TKC,1710,3890,4630,5070,D,1710
ROS,1500,2960,3500,3800,C,2960
TKU,4760,10000,12100,13350,B,12100
S4A,21850,26550,27650,28300,C,26550
TMB,3840,8360,9870,10700,A,10700
SAB,89000,113700,120000,123000,A,123000
TMC,8240,11000,11650,12050,B,11650
SAM,4250,8100,9330,10050,C,8100
TMX,2680,4780,5460,5850,A,5850
SAV,7050,12700,14450,15400,B,14450
TNG,11300,19100,21250,22450,C,19100
SBA,13900,16300,16850,17200,B,16850
TPH,4080,5940,6450,6710,C,5940
SBT,5570,10500,12050,12900,B,12050
SBV,7770,10850,11650,12100,C,10850
TPP,950,2970,3720,4160,D,950
SC5,3860,8600,10200,11100,C,8600
TSB,3090,5390,6010,6340,B,6010
SCD,8750,11900,12900,13450,B,12900
TST,2780,5420,6180,6570,C,5420
SCR,3730,8120,9580,10350,B,9580
TTC,6880,9840,10600,11050,A,11050
SCS,104200,126300,131500,134300,A,134300
TTH,640,1850,2310,2570,B,2310
SFC,4730,9280,10700,11500,A,11500
TTL,1500,4010,4930,5450,Not enough data,1500
SFG,5580,10100,11500,12200,B,11500
TTT,17550,27250,30250,31800,A,31800
SFI,40800,53600,56900,58700,A,58700
TTZ,540,1600,2030,2280,B,2030
SGN,53000,63300,65700,67000,A,67000
TV3,8870,13650,15000,15700,C,13650
SGR,5650,11200,13050,14100,B,13050
TV4,10850,13450,14050,14450,A,14450
SGT,5510,11550,13550,14600,C,11550
TVC,3970,8020,9420,10300,A,10300
SHA,1750,3530,4070,4370,C,3530
